column1,column2,column3,column4,column5,column6,column7,column8,column9,column10,column11,column12,column13,column14,column15,column16,column17,column18,column19,column20,column21,column22,column23,column24,column25,column26,column27,column28,column29,column30,column31,column32,column33,column34,column35,column36,column37,column38,column39,column40,column41,column42,column43,column44,column45,column46,column47,column48,column49,column50,column51,column52,column53,column54,column55,column56,column57,column58,column59,column60,column61,column62,column63,column64,column65,column66,column67,column68,column69,column70,column71,column72,column73,column74,column75,column76,column77,column78,column79,column80,column81,column82,column83,column84,column85,column86,column87,column88,column89,column90,column91,column92,column93,column94,column95,column96,column97,column98,column99,column100,column101
2016/12/01,2133,2125,2125,2112,2121,2112,2125,2129,2129,2129,2129,2121,2121,2117,2121,2064,2044,2048,2048,2064,2068,2080,2100,2112,2112,2112,2125,2129,2137,2157,2177,2185,2197,2226,2234,2246,2254,2262,2246,2230,2226,2201,2185,2189,2185,2117,2125,2104,2080,2080,2064,2036,2027,2027,2015,2011,2019,2044,2052,2104,2129,2133,2133,2141,2108,2112,2108,2104,2108,2112,2092,2084,2064,2036,1995,2137,2137,2133,2117,2125,2125,2125,2133,2133,2125,2129,2145,2149,2169,2161,2145,2137,2129,2121,2149,2157,2145,2149,2137,2125
2016/12/02,1557,1555,1564,1564,1572,1573,1575,1562,1541,1533,1532,1539,1548,1574,1595,1495,1497,1519,1533,1560,1566,1597,1613,1610,1586,1596,1563,1546,1544,1545,1550,1567,1579,1575,1588,1580,1597,1578,1603,1595,1595,1585,1592,1599,1603,1528,1538,1562,1557,1563,1544,1522,1494,1499,1478,1490,1501,1504,1501,1515,1505,1490,1492,1489,1487,1484,1510,1523,1519,1523,1539,1525,1473,1463,1462,1515,1518,1526,1522,1534,1535,1531,1549,1565,1570,1570,1569,1569,1587,1583,1576,1583,1566,1562,1541,1532,1534,1534,1529,1561
2016/12/03,1862,1878,1882,1903,1893,1900,1896,1908,1888,1880,1897,1905,1903,1911,1920,1877,1873,1881,1879,1855,1870,1862,1829,1832,1835,1821,1842,1871,1869,1897,1933,1944,1955,1969,1980,1945,1924,1915,1906,1894,1899,1934,1935,1931,1907,1997,2013,2017,2023,2009,1988,1967,1918,1886,1861,1825,1821,1856,1867,1900,1925,1948,1982,1987,1981,1972,1980,1964,1943,1926,1931,1872,1849,1819,1773,1853,1866,1879,1875,1879,1875,1854,1852,1868,1867,1875,1891,1904,1911,1899,1874,1875,1871,1855,1868,1897,1902,1885,1869,1865
2016/12/04,2043,2060,2045,2041,2055,2056,2053,2048,2045,2039,2035,2039,2039,2068,2069,2027,2040,2054,2076,2099,2113,2092,2099,2088,2074,2059,2062,2043,2037,2042,2056,2074,2075,2079,2101,2114,2118,2143,2156,2140,2118,2122,2108,2116,2136,2225,2206,2222,2230,2231,2212,2162,2106,2069,2045,2037,2068,2106,2107,2109,2105,2082,2035,2029,2035,2037,2055,2063,2088,2079,2056,2023,1989,1932,1917,2084,2096,2091,2087,2080,2072,2035,2044,2061,2058,2063,2083,2075,2063,2051,2030,2018,2027,2022,2030,2025,2037,2040,2056,2075
2016/12/05,1921,1925,1934,1913,1886,1865,1851,1855,1868,1882,1895,1907,1915,1918,1925,2148,2115,2106,2047,2000,1964,1979,1981,1979,1957,1927,1876,1835,1813,1804,1794,1797,1791,1803,1806,1814,1822,1830,1833,1846,1862,1892,1922,1943,1956,2075,2089,2080,2086,2094,2074,2058,2106,2125,2127,2134,2147,2118,2088,2078,2065,2092,2094,2108,2094,2057,2031,2018,2035,2043,2061,2058,2046,1997,1980,1875,1867,1867,1867,1863,1884,1893,1918,1922,1926,1916,1916,1886,1885,1877,1869,1852,1852,1852,1860,1874,1884,1888,1889,1894
2016/12/06,533,533,521,512,500,505,505,505,501,522,509,510,510,519,523,489,501,501,497,493,506,503,501,515,507,504,500,497,502,503,499,500,492,501,510,506,507,520,509,504,509,518,518,526,531,533,531,522,512,507,478,477,480,497,500,525,528,523,507,510,526,534,541,540,527,513,508,520,532,540,535,543,523,511,533,531,530,522,510,506,498,499,512,524,520,521,533,529,521,512,525,512,500,500,512,504,503,498,510,509
2016/12/07,1909,1885,1885,1851,1863,1871,1879,1870,1891,1899,1899,1887,1895,1882,1873,2206,2251,2296,2316,2348,2380,2375,2312,2290,2265,2211,2182,2161,2123,2114,2097,2060,2051,2046,2000,1979,1979,1966,1953,1961,1957,1961,1965,1953,1935,1880,1870,1838,1835,1841,1837,1838,1850,1862,1870,1892,1917,1946,1947,1952,1964,1952,1941,1934,1927,1949,1974,1995,1999,2032,2036,2028,2037,2045,2006,1948,1943,1931,1943,1951,1938,1942,1942,1938,1928,1924,1924,1950,1958,1950,1959,1947,1913,1889,1902,1906,1907,1902,1923,1920
2016/12/08,1805,1797,1793,1784,1793,1793,1797,1781,1794,1807,1786,1806,1819,1798,1790,1832,1841,1830,1817,1835,1857,1862,1906,1970,1975,1976,1977,1977,1957,1941,1934,1947,1939,1936,1924,1921,1913,1896,1883,1879,1865,1840,1823,1797,1763,1859,1828,1805,1756,1720,1714,1700,1665,1694,1723,1706,1727,1782,1774,1807,1870,1904,1937,1965,1951,1915,1909,1887,1903,1912,1924,1933,1920,1918,1950,1819,1835,1826,1839,1831,1822,1801,1818,1807,1786,1787,1798,1773,1772,1788,1805,1793,1784,1792,1792,1771,1787,1788,1793,1788
2016/12/09,2041,2025,2012,2017,2033,2025,2033,2029,2028,2007,2015,2023,2034,2059,2058,2163,2171,2158,2174,2163,2166,2151,2160,2160,2172,2182,2180,2181,2170,2185,2167,2162,2153,2148,2111,2095,2046,2030,2027,2020,2045,2071,2072,2065,2078,2097,2071,2067,2096,2116,2123,2187,2249,2243,2234,2238,2221,2204,2191,2232,2234,2245,2229,2239,2213,2197,2208,2234,2255,2260,2284,2262,2203,2155,2143,2051,2051,2068,2088,2089,2105,2096,2087,2041,2037,2029,2027,2020,2036,2041,2036,2019,2019,2024,2049,2050,2062,2057,2060,2036
2016/12/10,1654,1653,1653,1658,1658,1683,1679,1692,1689,1698,1699,1700,1696,1683,1679,1673,1690,1710,1742,1768,1791,1830,1833,1845,1835,1838,1817,1807,1784,1765,1730,1707,1679,1650,1629,1602,1572,1557,1560,1547,1542,1550,1558,1557,1561,1536,1534,1534,1541,1556,1549,1546,1567,1570,1587,1621,1669,1668,1694,1706,1719,1710,1729,1727,1732,1728,1740,1747,1755,1766,1779,1756,1775,1781,1805,1756,1748,1739,1731,1732,1697,1692,1735,1721,1699,1707,1706,1663,1667,1662,1684,1672,1676,1697,1692,1690,1707,1729,1713,1742
